Company Names,Cars Names,HP,Speed,Seats,Price,Year,Fuel_Type,Mileage,Transmission,Owner_Type,Safety_Rating
ASTON MARTIN,LAGONDA TARAF,540.0,314,4,464492.33289997705,2024,Electric,11.24,Manual,Second,3
ASTON MARTIN,VICTOR,836.0,320,2,317576.84140594985,2019,Hybrid,22.37,Automatic,First,2
LAMBORGHINI,SIAN,819.0,350,2,315801.7585880588,2021,Hybrid,15.37,Manual,Third,2
LAMBORGHINI,AVENTADOR SVJ,759.0,350,2,313674.48152205354,2021,Diesel,14.83,Manual,Third,2
LAMBORGHINI,HURACAN PERFORMANTE,640.0,325,2,755407.3900481629,2024,Electric,24.66,Automatic,Second,5
LAMBORGHINI,HURACAN EVO,640.0,325,2,759200.7789580264,2023,Diesel,13.01,Manual,Third,5
LAMBORGHINI,AVENTADOR SV,740.0,350,2,762496.8061452011,2023,Diesel,20.4,Automatic,First,5
LAMBORGHINI,URUS ,641.0,305,5,618105.6111310946,2024,Diesel,22.32,Manual,Third,4
LAMBORGHINI,HURACAN SPYDER,610.0,325,2,313918.0914478423,2023,Electric,10.62,Manual,Second,2
LAMBORGHINI,AVENTADOR ROADSTER,700.0,350,2,455184.79922318633,2012,Hybrid,20.06,Automatic,Second,3
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,640.0,325,2,764420.419846974,2021,Electric,24.27,Automatic,Second,5
LAMBORGHINI,AVENTADOR S,740.0,350,2,762874.5885979184,2016,Petrol,11.86,Manual,First,5
LAMBORGHINI,HURACAN EVO SPYDER,640.0,325,2,309415.3899984702,2013,Electric,23.44,Automatic,First,2
LAMBORGHINI,URUS PERFORMANTE,641.0,305,5,765878.3814442044,2018,Electric,18.92,Manual,First,5
LAMBORGHINI,AVENTADOR ULTIMAE,769.0,355,2,620534.9976124797,2012,Electric,19.25,Manual,First,4
LAMBORGHINI,HURACAN EVO RWD,610.0,325,2,616856.400595581,2014,Electric,19.19,Automatic,First,4
LAMBORGHINI,AVENTADOR SVJ ROADSTER,759.0,350,2,760983.9123838868,2012,Hybrid,14.48,Manual,Third,5
LAMBORGHINI,URUS S,671.0,305,5,311873.9381207439,2016,Petrol,24.03,Manual,First,2
LAMBORGHINI,HURACAN STO,640.0,325,2,314456.3171570178,2014,Hybrid,24.21,Automatic,First,2
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,769.0,355,2,320257.7256356118,2018,Hybrid,19.38,Automatic,Third,2
LAMBORGHINI,HURACAN EVO RWD SPYDER,610.0,325,2,159804.12881077355,2016,Electric,21.75,Manual,First,1
LAMBORGHINI,AVENTADOR SVJ XAGO,759.0,350,2,764251.7051166809,2011,Diesel,19.18,Automatic,Second,5
LAMBORGHINI,URUS GRAPHITE CAPSULE,641.0,305,5,307288.32512996986,2013,Diesel,17.27,Automatic,First,2
LAMBORGHINI,HURACAN STO EVO,640.0,325,2,606818.9668795967,2018,Hybrid,19.91,Automatic,First,4
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,769.0,355,2,469442.629111971,2021,Hybrid,18.3,Automatic,Second,3
ROLLS ROYCE ,GHOST,591.0,250,5,468601.2001428541,2023,Electric,18.96,Manual,Second,3
ROLLS ROYCE,WRAITH,624.0,250,4,312119.94939209835,2011,Hybrid,21.76,Manual,Second,2
ROLLS ROYCE,DAWN,624.0,250,4,467497.6644894601,2019,Electric,17.21,Manual,Second,3
ROLLS ROYCE,CULLINAN,563.0,250,5,463068.1801252382,2018,Diesel,10.61,Automatic,First,3
ROLLS ROYCE,PHANTOM EXTENDED,563.0,250,5,158034.40122697438,2019,Diesel,12.46,Automatic,Second,1
ROLLS ROYCE,GHOST EXTENDED,591.0,250,5,613626.9780275421,2014,Petrol,16.58,Automatic,Second,4
ROLLS ROYCE,WRAITH BLACK BADGE,624.0,250,4,620170.1828323299,2011,Diesel,20.87,Automatic,Third,4
ROLLS ROYCE,DAWN BLACK BADGE,624.0,250,4,162300.86980445025,2013,Hybrid,18.9,Automatic,Second,1
ROLLS ROYCE,CULLINAN BLACK BADGE,563.0,250,5,169083.21827907002,2021,Diesel,19.75,Automatic,Second,1
ROLLS ROYCE,PHANTOM COUPE,563.0,250,4,448161.2744795513,2024,Electric,17.19,Automatic,Third,3
ROLLS ROYCE,GHOST COUPE,591.0,250,4,765929.5125218761,2021,Diesel,19.24,Manual,Third,5
ROLLS ROYCE,WRAITH COUPE,624.0,250,4,462915.2353411909,2016,Petrol,14.94,Manual,First,3
ROLLS ROYCE,DAWN CONVERTIBLE,624.0,250,4,160984.96324767068,2021,Diesel,17.05,Automatic,Third,1
ROLLS ROYCE,CULLINAN SUV,563.0,250,5,611718.8038826775,2022,Electric,21.16,Automatic,First,4
MERCEDES,BENZ S-CLASS S 580,496.0,250,5,449982.15542699554,2017,Electric,23.08,Automatic,Third,3
MERCEDES,BENZ E-CLASS E 63 S,603.0,250,5,760961.6405608124,2024,Hybrid,16.5,Manual,Third,5
MERCEDES,BENZ CLA 45 AMG,382.0,250,5,459425.5628575587,2012,Diesel,10.65,Manual,First,3
MERCEDES,BENZ GLE 63 S,603.0,250,5,319449.47022370755,2023,Electric,12.43,Automatic,Third,2
MERCEDES,BENZ S-CLASS S 500,429.0,250,5,455988.64890863176,2010,Petrol,10.31,Automatic,First,3
MERCEDES,BENZ E-CLASS E 450 ,362.0,250,5,153197.53198553406,2013,Hybrid,19.8,Manual,Third,1
MERCEDES,BENZ CLS 450,362.0,250,5,604731.2147820774,2011,Petrol,14.98,Manual,Second,4
MERCEDES,BENZ GT 53,429.0,250,5,613157.0105885104,2017,Diesel,18.14,Manual,Third,4
MERCEDES,BENZ GLE 450,362.0,250,5,158883.75554829842,2013,Diesel,17.4,Manual,First,1
MERCEDES,BENZ A-CLASS A 45 S,416.0,250,5,305671.1989811648,2011,Diesel,11.22,Automatic,Third,2
MERCEDES,BENZ C-CLASS C 43,402.0,250,5,160606.33716556677,2023,Hybrid,16.05,Manual,First,1
MERCEDES,BENZ E-CLASS E 350,255.0,250,5,455585.3877467402,2015,Electric,13.31,Manual,First,3
MERCEDES,BENZ GLE 350 ,255.0,250,5,159943.22495266446,2015,Hybrid,16.28,Automatic,Second,1
MERCEDES,BENZ GLC 43,402.0,250,5,154529.73453061323,2019,Petrol,13.05,Manual,Second,1
MERCEDES,BENZ GLA 45,382.0,250,5,306001.6892670112,2013,Hybrid,22.61,Manual,First,2
MERCEDES,BENZ GLC 350 ,255.0,250,5,453139.4592343392,2015,Petrol,12.61,Manual,Third,3
MERCEDES,BENZ GLE 53,429.0,250,5,751262.4252593394,2022,Hybrid,24.41,Automatic,First,5
MERCEDES,BENZ S-CLASS S 350,255.0,250,5,756580.6013853229,2024,Electric,16.24,Manual,First,5
MERCEDES,BENZ MAYBACH S 680,630.0,250,5,613905.2763608994,2011,Petrol,22.69,Automatic,Third,4
BMW,M5 CS,627.0,305,5,162565.5672832123,2019,Diesel,19.43,Automatic,Third,1
BMW,M4 GTS,493.0,305,4,608687.0643331243,2021,Diesel,21.03,Manual,Third,4
BMW,M3 COMPETITION,503.0,285,5,302983.1462897479,2011,Hybrid,21.52,Manual,Third,2
BMW,M2 CS,444.0,280,4,756776.7733861732,2019,Diesel,17.57,Manual,First,5
BMW,X5 M COMPETITION,523.0,285,5,158746.42741736615,2023,Petrol,18.15,Manual,First,1
BMW,X3 M COMPETITION,503.0,285,5,306048.6136538919,2013,Diesel,17.71,Automatic,Second,2
BMW,M8 GRAN COUPE,523.0,305,5,309653.57144166995,2023,Electric,18.82,Manual,First,2
BMW,M850i DRIVE COUPE,523.0,285,4,162480.2542840727,2024,Electric,10.44,Manual,Third,1
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,563.0,250,4,320690.92950605263,2024,Hybrid,15.93,Manual,Second,2
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,563.0,250,5,162132.8890641592,2017,Petrol,19.09,Automatic,Third,1
ROLLS ROYCE,PHATOM TRANQUILITY,563.0,250,5,162547.75195361383,2023,Electric,18.97,Manual,First,1
ROLLS ROYCE,GHOST ZENITH,563.0,250,5,460887.7704211692,2016,Electric,21.89,Manual,Second,3
ROLLS ROYCE,WRAITH EAGLE VIII,623.0,250,4,602866.1439235047,2021,Petrol,19.83,Automatic,Third,4
ROLLS ROYCE,PHATOM ORCHID,563.0,250,5,311127.4306227539,2018,Diesel,24.88,Automatic,Second,2
ROLLS ROYCE,GHOST AZURE,563.0,250,5,311561.1510497051,2023,Diesel,14.26,Manual,Second,2
ROLLS ROYCE,WRAITH KRYPTOS,623.0,250,4,474776.2105624264,2017,Hybrid,15.39,Manual,First,3
ROLLS ROYCE,DAWN SILVER BULLET,563.0,250,4,460298.19517609436,2014,Diesel,15.76,Manual,Third,3
ROLLS ROYCE,CULLINAN FUX ORANGE,563.0,250,5,462767.7367116681,2022,Petrol,16.99,Manual,Second,3
ROLLS ROYCE,PHANTOM CELESTIAL,563.0,250,5,761086.4411514738,2011,Electric,22.54,Manual,Second,5
ROLLS ROYCE,GHOST MYSORE,563.0,250,5,755416.6098119024,2024,Diesel,13.54,Automatic,Third,5
ROLLS ROYCE,WRAITH LUMINARY,623.0,250,4,768174.1140725751,2014,Hybrid,21.64,Automatic,Second,5
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,563.0,250,4,165019.66516343388,2017,Diesel,16.08,Manual,Second,1
ROLLS ROYCE,CULLINAN RED DIAMOND,563.0,250,5,315215.15973521525,2019,Petrol,19.03,Manual,Second,2
AUDI,R8 V10 PLUS,610.0,330,2,607653.0627260263,2018,Hybrid,19.49,Automatic,Third,4
AUDI,RS7 SPORTBACK,591.0,305,5,168833.9715546805,2021,Diesel,15.59,Manual,Third,1
AUDI,S8,563.0,305,5,304250.7446860386,2021,Hybrid,17.69,Manual,Third,2
AUDI,RS6 AVANT,591.0,305,5,314754.28546900133,2021,Petrol,16.2,Manual,Third,2
AUDI,S7 SPORTBACK,563.0,305,5,472212.27812904987,2022,Electric,11.04,Manual,First,3
AUDI,A8,335.0,250,5,451747.31837434653,2018,Petrol,16.56,Manual,Second,3
AUDI,S5 COUPE,349.0,250,4,154148.51135198615,2022,Petrol,11.46,Automatic,Third,1
AUDI,SQ5,349.0,250,5,457478.25682543823,2024,Petrol,16.08,Manual,Second,3
AUDI,S4 SEDAN,349.0,250,5,304462.621729419,2022,Petrol,18.89,Manual,Second,2
AUDI,S3 SEDAN,306.0,250,5,448366.6828446693,2010,Electric,18.69,Manual,First,3
AUDI,Q7,335.0,250,7,757042.8148740302,2018,Electric,19.94,Automatic,Third,5
AUDI,Q5,248.0,240,5,449648.4814313695,2016,Hybrid,11.43,Automatic,Third,3
AUDI,A7,335.0,250,5,309067.9621531759,2018,Diesel,19.78,Automatic,Second,2
AUDI,A6,335.0,250,5,152102.878828831,2017,Electric,14.68,Automatic,Third,1
AUDI,A5 COUPE,248.0,240,4,612709.6720250878,2010,Electric,15.99,Manual,Second,4
AUDI,A4,248.0,240,5,451043.73353831883,2021,Diesel,22.87,Automatic,Second,3
AUDI,Q3,248.0,230,5,303349.6924189716,2017,Electric,10.14,Manual,First,2
AUDI,E-TRON,402.0,200,5,612107.5860868484,2017,Petrol,18.83,Manual,First,4
AUDI,E-TRON SPORTBACK,402.0,200,5,601885.6784178303,2024,Petrol,18.98,Automatic,First,4
AUDI,TT COUPE,248.0,250,2,756097.2996730206,2020,Diesel,15.95,Automatic,Second,5
BMW,I8 ROADSTER,369.0,250,2,613915.7137714121,2012,Hybrid,13.56,Automatic,Third,4
BMW,330i,255.0,250,5,297062.5838271939,2010,Hybrid,13.52,Automatic,First,2
BMW,M340i XDRIVE,382.0,250,5,308563.16929266154,2017,Diesel,23.26,Automatic,Third,2
BMW,430i COUPE,255.0,250,4,456399.41397124215,2012,Diesel,16.63,Manual,First,3
BMW,M4 COMPETITION,503.0,290,4,463969.11435888655,2012,Petrol,14.96,Automatic,First,3
BMW,530i,248.0,250,5,448775.2464456096,2010,Hybrid,16.73,Automatic,Second,3
BMW,M550i XDRIVE,523.0,250,5,603857.7169345786,2020,Electric,20.04,Automatic,First,4
BMW,118i,136.0,213,5,605329.7078280845,2014,Petrol,12.19,Manual,First,4
BMW,128ti,261.0,250,5,756704.923366166,2019,Diesel,16.74,Automatic,Second,5
BMW,M135i XDRIVE,302.0,250,5,457292.46425172937,2016,Hybrid,18.82,Manual,Third,3
BMW,116D,116.0,200,5,154052.2410474849,2019,Electric,24.23,Automatic,First,1
BMW,120D XDRIVE,190.0,230,5,750399.8763921076,2018,Electric,13.79,Automatic,Second,5
BMW,116i,109.0,200,5,153341.26848580502,2021,Petrol,15.39,Manual,First,1
BMW,118D,150.0,216,5,604465.3623664934,2016,Hybrid,15.69,Automatic,Second,4
BMW,120i,178.0,230,5,749988.2429098681,2018,Hybrid,19.08,Manual,Third,5
BMW,125i,224.0,240,5,763808.8725557238,2017,Diesel,15.35,Manual,Third,5
BMW,114D,95.0,185,5,304269.16460455896,2021,Hybrid,18.0,Manual,Second,2
BMW,114i,102.0,195,5,596083.4825139868,2011,Hybrid,21.73,Automatic,Second,4
BMW,125D,224.0,240,5,607762.7680431692,2010,Petrol,20.58,Automatic,Second,4
BMW,118i XDRIVE,136.0,211,5,747846.5916488634,2016,Hybrid,16.7,Automatic,Third,5
BMW,116D EFFICIENTDYNAMICS,116.0,200,5,606255.4230187123,2016,Electric,22.96,Manual,First,4
BMW,118i SPORTLINE,136.0,213,5,758512.977895037,2023,Petrol,18.37,Automatic,Third,5
BMW,118i M SPORT,136.0,213,5,298616.58840824146,2017,Petrol,18.1,Manual,Second,2
BMW,120i M SPORT,178.0,230,5,758376.8806462216,2014,Diesel,10.51,Automatic,Second,5
BMW,116i EFFICIENTDYNAMICS,109.0,195,5,604243.9046346825,2012,Hybrid,24.8,Manual,Third,4
BMW,116D ADVANTAGE,116.0,200,5,606430.3007999725,2021,Diesel,11.84,Manual,Second,4
BMW,120D EFFICIENTDYNAMICS,163.0,225,5,762743.9649132697,2017,Electric,13.47,Manual,Third,5
BMW,118i SHADOW LINE,136.0,213,5,751493.0594199856,2015,Petrol,10.78,Automatic,Second,5
BMW,118D SPORT LINE,150.0,216,5,749231.3191782126,2020,Petrol,19.6,Manual,First,5
BMW,120i XDRIVE,178.0,230,5,449112.4278518724,2012,Petrol,13.37,Manual,First,3
BMW,114D SPORT LINE,95.0,185,5,597820.9485751728,2010,Electric,12.7,Manual,Second,4
BMW,118i URBAN LINE,136.0,213,5,602334.4914529294,2012,Electric,11.33,Manual,Third,4
VOLVO,XC90,247.0,200,7,456645.7598740832,2014,Diesel,11.55,Manual,First,3
VOLVO,XC60,247.0,220,5,756323.4539966501,2024,Diesel,18.77,Manual,Third,5
VOLVO,S90,295.0,250,5,310035.9162451801,2023,Diesel,20.32,Automatic,Second,2
KIA,SPORTAGE LX,187.0,200,5,753805.0094593895,2012,Hybrid,15.96,Automatic,Third,5
KIA,SPORTAGE EX,187.0,200,5,761007.6703857866,2010,Petrol,17.2,Manual,First,5
KIA,SPORTAGE GT-LINE,187.0,200,5,452416.7158338102,2014,Petrol,20.29,Automatic,Third,3
KIA,SPORTAGE SX TURBO,240.0,210,5,618400.8458329481,2019,Diesel,10.26,Automatic,Third,4
KIA,SPORTAGE NIGHTFALL EDITION,187.0,200,5,756868.3367388251,2016,Petrol,14.85,Manual,Second,5
HONDA,CIVIC TYPE R,315.0,272,5,602014.2122179186,2024,Diesel,24.6,Manual,Second,4
KIA,SPORTAGE PHEV,261.0,180,5,149865.53750969443,2023,Hybrid,18.7,Manual,Second,1
KIA,SPORTAGE 2024(BASE MODEL),187.0,200,5,606152.3620762159,2016,Hybrid,13.81,Automatic,First,4
KIA,SPORTAGE 2024(TOP TRIM),240.0,210,5,303682.68607337074,2020,Electric,17.83,Manual,First,2
KIA,SPORTAGE 2024(BASE AWD),187.0,200,5,307310.0024704605,2018,Hybrid,15.14,Automatic,Second,2
KIA,SPORTAGE X-LINE,187.0,200,5,756106.1881228677,2024,Diesel,17.98,Manual,Second,5
KIA,SPORTAGE 2024(S TRIM),187.0,200,5,603375.8554367156,2024,Hybrid,11.89,Automatic,First,4
HONDA,ACCORD,192.0,201,5,749606.031409658,2019,Electric,11.99,Manual,First,5
KIA,SPORTAGE 2024(HYBRID AWD),227.0,180,5,446965.7638765707,2019,Petrol,12.15,Manual,First,3
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),261.0,180,5,302987.4252396649,2021,Diesel,24.1,Automatic,First,2
KIA,SPORTAGE 2024(X-PRO),187.0,200,5,758021.9939716173,2022,Petrol,20.99,Automatic,Second,5
KIA,SPORTAGE 2024(X-PRO PRESTIGE),187.0,200,5,454810.468720651,2012,Electric,12.44,Automatic,First,3
KIA,SPORTAGE 2024(SX TURBO AWD),240.0,210,5,748571.30610644,2024,Electric,12.83,Automatic,Second,5
KIA  ,SPORTAGE 2024(BASE FWD),187.0,200,5,604605.9046292559,2016,Electric,20.96,Automatic,Third,4
HONDA,CR-V,190.0,186,5,605726.5868986442,2010,Petrol,12.34,Automatic,Third,4
HONDA,PILOT,285.0,209,8,601280.7128189943,2013,Petrol,13.52,Manual,First,4
HONDA,CIVIC HATCHBACK,180.0,220,5,604368.6255297277,2022,Petrol,24.45,Automatic,Third,4
TOYOTA,CAMRY,301.0,220,5,156311.04359223,2013,Petrol,13.83,Manual,Third,1
TOYOTA,COROLLA,139.0,180,5,447065.1485108469,2023,Electric,19.92,Manual,Third,3
TOYOTA,PRIUS,121.0,180,5,454208.9368017414,2014,Electric,24.68,Automatic,First,3
TOYOTA,RAV4,203.0,200,5,606863.9226318412,2016,Diesel,15.61,Manual,First,4
TOYOTA,HIGHLANDER,295.0,220,7,161315.25621587638,2016,Diesel,10.26,Automatic,Third,1
TOYOTA,4RUNNER ,270.0,200,5,610669.0102601745,2022,Petrol,13.66,Automatic,Second,4
TOYOTA,TACOMA,159.0,180,5,146291.65316021454,2024,Hybrid,22.46,Manual,Third,1
TOYOTA,TUNDRA,381.0,220,5,602930.8748004244,2020,Hybrid,22.97,Manual,First,4
TOYOTA,AVALON,301.0,220,5,308595.1763360433,2022,Electric,21.53,Automatic,First,2
TOYOTA,MIRAI,151.0,180,5,305588.92975456105,2013,Electric,11.7,Automatic,First,2
TOYOTA,SIENNA,245.0,190,7,757475.2384315302,2022,Electric,21.93,Manual,Third,5
TOYOTA,VENZA,219.0,200,5,623643.6574532737,2016,Diesel,23.78,Manual,Second,4
TOYOTA,HIGHLANDER HYBRID,240.0,220,7,457654.45255346585,2020,Diesel,19.01,Manual,First,3
TOYOTA,LAND CRUISER PRADO,282.0,200,7,761317.828200903,2012,Electric,24.11,Manual,First,5
TOYOTA,TUNDRA HYBRID,344.0,220,5,311650.00881746603,2015,Electric,22.4,Automatic,Third,2
TOYOTA,YARIS,106.0,180,5,605376.956256529,2021,Electric,20.0,Automatic,Second,4
TOYOTA,C-HR,144.0,200,5,751303.6537767983,2011,Hybrid,18.66,Automatic,Third,5
TOYOTA,BZ4X,218.0,200,5,608154.8461024663,2019,Diesel,15.23,Automatic,First,4
TOYOTA,CROWN,236.0,200,5,300855.87392731215,2022,Hybrid,12.39,Manual,Second,2
TOYOTA,MR2,168.0,200,2,752175.9069663,2023,Hybrid,19.07,Manual,Second,5
TOYOTA,CELICA,140.0,200,5,300373.18226085446,2018,Electric,14.77,Automatic,First,2
HONDA,CITY,119.0,180,5,152789.3706969316,2014,Electric,23.0,Automatic,Second,1
HONDA,CIVIC,158.0,200,5,314733.29283336754,2015,Petrol,24.9,Automatic,Second,2
HYUNDAI,I10,87.0,160,5,592403.6740370413,2021,Petrol,21.29,Automatic,Third,4
HYUNDAI,I20,99.0,180,5,455411.30095187254,2021,Hybrid,11.36,Automatic,First,3
HYUNDAI,ELANTRA,147.0,200,5,294876.42064405174,2021,Diesel,14.33,Automatic,First,2
MAHINDRA,XUV500,155.0,180,7,450740.3406710528,2021,Electric,11.64,Automatic,First,3
MAHINDRA,SCORPIO,140.0,160,7,158244.75298483684,2013,Electric,19.76,Automatic,First,1
MAHINDRA,THAR,150.0,180,4,753321.4000954774,2023,Hybrid,21.48,Automatic,First,5
MARUTI SUZUKI,SWIFT,83.0,160,5,746271.2761103534,2023,Petrol,23.89,Manual,Second,5
MARUTI SUZUKI,DZIRE,83.0,160,5,448083.48145370017,2020,Diesel,16.57,Automatic,Third,3
MARUTI SUZUKI,BREZZA,103.0,180,5,755457.9887446734,2019,Petrol,23.52,Manual,First,5
TOYOTA,PRIUS PRIME,220.0,180,5,300748.1668414143,2016,Petrol,23.17,Manual,Third,2
TOYOTA,GR COROLLA,300.0,230,5,457082.29294790985,2021,Petrol,14.76,Automatic,Third,3
TOYOTA,LAND CRUISER 300,305.0,210,7,606327.859199519,2018,Petrol,23.03,Automatic,Second,4
TOYOTA,TUNDRA I-FORCE MAX,437.0,180,5,305481.99826197093,2016,Electric,15.64,Manual,First,2
TOYOTA,COROLLA HATCHBACK XSE,169.0,190,5,314099.72044662666,2023,Electric,14.45,Manual,Second,2
TOYOTA,MIRAI,152.0,180,5,306209.59511159005,2010,Petrol,19.74,Automatic,First,2
TOYOTA,HILUX GR SPORT,224.0,170,5,594354.2870667119,2010,Diesel,14.93,Manual,Second,4
TOYOTA,ALPHARD EXECUTIVE LOUNGE,296.0,180,7,156852.27157384713,2018,Hybrid,19.45,Automatic,Third,1
TOYOTA,FORTUNER GR SPORT,204.0,175,7,750771.067676158,2020,Diesel,19.15,Automatic,First,5
TOYOTA,INNOVA HYCROSS,184.0,165,7,457942.1666739811,2023,Diesel,18.45,Automatic,Third,3
TOYOTA,COASTER,134.0,120,20,148717.3963078365,2018,Diesel,15.71,Manual,Third,1
TOYOTA,URBAN CRUISER TAISOR,114.0,170,5,451706.3177926655,2013,Petrol,18.23,Manual,Second,3
TOYOTA,AYGO X,71.0,160,4,753944.9363949023,2022,Electric,18.95,Automatic,First,5
TOYOTA,HILUX REVO ROCCO,204.0,175,5,608408.7759708506,2018,Diesel,18.19,Manual,Third,4
TOYOTA,PROACE VERSO ELECTRIC,136.0,130,7,296718.51796472113,2012,Petrol,16.67,Manual,Second,2
TOYOTA,CENTURY SUV,406.0,200,5,306447.49382079527,2016,Diesel,10.22,Manual,First,2
TOYOTA,COROLLA SEDAN HYBRID,134.0,180,5,600305.2734441952,2015,Diesel,18.81,Manual,First,4
TOYOTA,BZ3,241.0,160,5,151553.35383713144,2017,Petrol,12.53,Manual,Third,1
TOYOTA,GR YARIS,268.0,230,4,164187.2712014055,2020,Electric,19.64,Manual,First,1
HYUNDAI,SANTA FE,253.0,180,7,457084.9085548048,2018,Electric,21.39,Manual,Third,3
HYUNDAI,IONIQ 5,225.0,185,5,598195.5802283247,2023,Hybrid,17.51,Automatic,First,4
HYUNDAI,Santa Cruz,281.0,215,5,160209.30973527388,2014,Petrol,18.14,Manual,Second,1
HYUNDAI,Kona,147.0,185,5,613550.7809850632,2010,Hybrid,24.27,Manual,Third,4
HYUNDAI,Elantra,147.0,210,5,758102.3263027557,2012,Hybrid,22.71,Manual,Third,5
HYUNDAI,IONIQ 6,320.0,185,5,298803.15017022996,2019,Hybrid,23.71,Manual,First,2
HYUNDAI,Tucson,187.0,180,5,301318.8296356687,2021,Electric,22.21,Manual,First,2
HYUNDAI,Palisade,291.0,240,7,312154.5557459331,2017,Petrol,11.63,Manual,Third,2
HYUNDAI,Sonata,191.0,240,5,600281.652671906,2024,Hybrid,12.23,Manual,First,4
